EmpID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,AgeGroup,SalarySlab
RM1091,29,No,Travel_Rarely,Research & Development,8,Other,3,Female,Healthcare Representative,1,Married,9715,7288,3,No,13,3,3,9,3,3,7,7,0,26-35,5k-10k
RM283,29,No,Travel_Frequently,Sales,2,Life Sciences,2,Male,Sales Executive,4,Single,4554,20260,1,No,18,3,1,10,3,2,10,7,0,26-35,Upto 5k
RM450,39,No,Travel_Frequently,Research & Development,8,Life Sciences,3,Female,Laboratory Technician,3,Married,3755,17872,1,No,11,3,1,8,3,3,8,3,0,36-45,Upto 5k
RM616,27,No,Non_Travel,Research & Development,3,Medical,4,Male,Research Scientist,4,Married,1706,16571,1,No,11,3,3,0,6,2,0,0,0,26-35,Upto 5k
RM775,55,No,Non_Travel,Research & Development,2,Medical,3,Male,Manager,1,Single,16756,17323,7,No,15,3,2,31,3,4,9,7,6,46-55,15k+
RM1411,40,No,Travel_Rarely,Sales,2,Marketing,2,Female,Sales Executive,2,Married,5677,4258,3,No,14,3,3,15,4,3,11,8,5,36-45,5k-10k
RM293,31,No,Travel_Frequently,Sales,5,Marketing,4,Female,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,2,5,2,2,2,2,26-35,Upto 5k
RM473,37,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,Manufacturing Director,2,Married,6447,15701,6,No,12,3,2,8,2,2,6,5,4,36-45,5k-10k
RM1044,53,No,Travel_Rarely,Research & Development,2,Medical,4,Male,Research Director,2,Single,16598,19764,4,No,12,3,2,35,2,2,9,8,8,46-55,15k+
RM1295,41,No,Travel_Rarely,Research & Development,5,Life Sciences,2,Male,Healthcare Representative,2,Single,6870,15530,3,No,12,3,1,11,3,1,3,2,1,36-45,5k-10k
RM1165,40,No,Travel_Rarely,Research & Development,16,Life Sciences,3,Female,Manufacturing Director,4,Single,7945,19948,6,Yes,15,3,4,18,2,2,4,2,3,36-45,5k-10k
RM481,30,Yes,Travel_Frequently,Sales,12,Life Sciences,2,Male,Sales Representative,1,Married,2033,14470,1,No,18,3,3,1,2,4,1,0,0,26-35,Upto 5k
RM271,55,No,Travel_Rarely,Research & Development,1,Medical,4,Male,Manager,1,Single,19045,18938,0,Yes,14,3,3,37,2,3,36,10,4,46-55,15k+
RM1138,22,No,Non_Travel,Research & Development,26,Other,2,Female,Research Scientist,3,Married,2814,10293,1,Yes,14,3,2,4,2,2,4,2,1,18-25,Upto 5k
RM888,42,No,Travel_Frequently,Research & Development,26,Medical,1,Female,Research Director,1,Married,13191,23281,3,Yes,17,3,3,20,6,3,1,0,0,36-45,10k-15k
RM958,40,No,Non_Travel,Research & Development,16,Life Sciences,3,Male,Research Scientist,3,Divorced,3544,8532,9,No,16,3,2,6,0,3,4,2,0,36-45,Upto 5k
RM1333,29,Yes,Travel_Frequently,Research & Development,24,Life Sciences,4,Male,Research Scientist,4,Single,2439,14753,1,Yes,24,4,2,1,3,2,1,0,1,26-35,Upto 5k
RM713,33,No,Travel_Rarely,Research & Development,13,Life Sciences,2,Female,Research Scientist,4,Single,3452,17241,3,No,18,3,1,5,4,3,3,2,0,26-35,Upto 5k
RM1251,29,No,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,Healthcare Representative,3,Single,6294,23060,8,Yes,12,3,4,10,5,4,3,2,0,26-35,5k-10k
RM673,42,No,Travel_Rarely,Sales,14,Medical,3,Female,Sales Executive,3,Single,6244,7824,7,No,17,3,1,10,6,3,5,4,0,36-45,5k-10k
RM1193,49,No,Travel_Rarely,Research & Development,16,Medical,4,Female,Laboratory Technician,1,Married,2587,24941,4,Yes,16,3,2,17,2,2,2,2,2,46-55,Upto 5k
RM041,35,No,Travel_Rarely,Research & Development,4,Other,3,Male,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,3,3,1,0,0,26-35,Upto 5k
RM386,30,Yes,Travel_Frequently,Research & Development,4,Technical Degree,3,Male,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,3,4,3,1,0,0,26-35,Upto 5k
RM1182,49,No,Travel_Rarely,Research & Development,6,Life Sciences,3,Female,Healthcare Representative,3,Married,13966,11652,2,Yes,19,3,2,30,3,3,15,11,2,46-55,10k-15k
RM1021,47,No,Travel_Rarely,Research & Development,1,Technical Degree,1,Male,Research Scientist,4,Married,3420,10205,7,No,12,3,3,17,2,2,6,5,1,46-55,Upto 5k
RM167,41,No,Travel_Rarely,Research & Development,14,Life Sciences,1,Male,Research Scientist,3,Divorced,2451,4609,4,No,12,3,1,13,2,3,9,8,1,36-45,Upto 5k
RM237,33,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,Laboratory Technician,1,Married,2707,21509,7,No,20,4,1,13,3,4,9,7,1,26-35,Upto 5k
RM739,39,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,Manufacturing Director,4,Married,12742,7060,1,No,16,3,3,21,3,3,21,6,11,36-45,10k-15k
RM1071,28,No,Travel_Frequently,Sales,7,Life Sciences,3,Male,Sales Executive,1,Single,4898,11827,0,No,14,3,4,5,5,3,4,2,1,26-35,Upto 5k
RM1461,29,No,Travel_Rarely,Research & Development,28,Medical,4,Female,Research Scientist,1,Single,3785,8489,1,No,14,3,2,5,3,1,5,4,0,26-35,Upto 5k
RM800,42,No,Travel_Rarely,Research & Development,2,Medical,4,Male,Manager,1,Married,17665,14399,0,No,17,3,4,23,3,3,22,6,13,36-45,15k+
RM901,36,No,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,Research Scientist,2,Married,3692,9256,1,No,12,3,3,12,2,2,11,10,0,36-45,Upto 5k
RM1173,29,No,Travel_Rarely,Sales,10,Medical,3,Male,Sales Executive,3,Single,5869,23413,9,No,11,3,3,8,2,3,5,2,1,26-35,5k-10k
RM130,49,No,Travel_Rarely,Research & Development,20,Medical,3,Female,Manufacturing Director,1,Married,6567,5549,1,No,14,3,3,16,2,2,15,11,5,46-55,5k-10k
RM248,34,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,Manufacturing Director,1,Married,5957,23687,6,No,13,3,2,13,3,3,11,9,5,26-35,5k-10k
RM606,38,No,Travel_Frequently,Research & Development,12,Life Sciences,1,Male,Healthcare Representative,1,Divorced,6288,4284,2,No,15,3,3,13,3,2,4,3,1,36-45,5k-10k
RM1361,31,No,Travel_Rarely,Research & Development,4,Medical,1,Female,Laboratory Technician,3,Divorced,3978,16031,8,No,12,3,2,4,0,2,2,2,2,26-35,Upto 5k
RM464,26,Yes,Travel_Rarely,Research & Development,24,Technical Degree,3,Male,Laboratory Technician,4,Single,2340,23213,1,Yes,18,3,2,1,3,1,1,0,0,26-35,Upto 5k
RM201,27,No,Travel_Frequently,Research & Development,1,Technical Degree,3,Male,Manufacturing Director,1,Married,4298,9679,5,No,19,3,3,6,1,3,2,2,2,26-35,Upto 5k
RM1119,26,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,Research Scientist,4,Married,2061,11133,1,No,21,4,1,1,5,3,1,0,0,26-35,Upto 5k
RM029,44,No,Travel_Rarely,Research & Development,7,Medical,1,Female,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,24,4,3,22,6,5,36-45,10k-15k
RM842,24,No,Travel_Rarely,Research & Development,24,Medical,4,Male,Laboratory Technician,2,Single,3597,6409,8,No,22,4,4,6,2,3,4,3,1,18-25,Upto 5k
RM1265,55,No,Travel_Rarely,Research & Development,2,Medical,3,Male,Research Director,1,Married,19038,19805,8,No,12,3,2,34,2,3,1,0,0,46-55,15k+
RM1116,34,No,Travel_Rarely,Research & Development,7,Medical,1,Male,Research Scientist,4,Single,2972,22061,1,No,13,3,3,1,4,1,1,0,0,26-35,Upto 5k
RM395,31,No,Travel_Rarely,Research & Development,7,Medical,2,Female,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,13,5,1,13,10,3,26-35,Upto 5k
RM839,42,Yes,Travel_Frequently,Sales,12,Life Sciences,3,Male,Sales Executive,1,Single,13758,2447,0,Yes,12,3,2,22,2,2,21,9,13,36-45,10k-15k
RM507,37,No,Travel_Rarely,Research & Development,3,Other,3,Male,Manufacturing Director,3,Married,9434,9606,1,No,15,3,3,10,2,3,10,7,7,36-45,5k-10k
RM962,35,No,Travel_Frequently,Research & Development,4,Life Sciences,3,Male,Research Scientist,3,Single,4249,2690,1,Yes,11,3,2,9,3,3,9,6,1,26-35,Upto 5k
RM1350,26,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,Research Scientist,3,Married,2933,14908,1,Yes,13,3,3,1,3,2,1,0,1,26-35,Upto 5k
RM347,41,No,Travel_Rarely,Research & Development,6,Medical,4,Male,Manufacturing Director,2,Single,6032,10110,6,Yes,15,3,4,8,3,3,5,4,1,36-45,5k-10k
RM1170,27,No,Travel_Rarely,Research & Development,8,Medical,2,Female,Research Scientist,3,Married,3517,22490,7,No,17,3,1,5,0,3,3,2,0,26-35,Upto 5k
RM264,46,No,Travel_Rarely,Sales,2,Technical Degree,3,Female,Manager,2,Married,16872,14977,3,Yes,12,3,2,28,2,2,7,7,7,46-55,15k+
RM100,44,No,Non_Travel,Research & Development,23,Medical,2,Male,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,17,3,4,3,2,1,36-45,Upto 5k
RM423,19,Yes,Travel_Rarely,Human Resources,2,Technical Degree,1,Male,Human Resources,4,Single,2564,18437,1,No,12,3,3,1,3,4,1,0,0,18-25,Upto 5k
RM824,29,No,Travel_Frequently,Research & Development,10,Life Sciences,4,Female,Research Scientist,2,Divorced,3291,17940,0,No,14,3,4,8,2,2,7,5,1,26-35,Upto 5k
RM1104,48,No,Travel_Rarely,Sales,16,Life Sciences,3,Female,Sales Executive,3,Married,6439,13693,8,No,14,3,3,18,2,3,8,7,7,46-55,5k-10k
RM1176,39,No,Travel_Rarely,Research & Development,12,Medical,4,Male,Manufacturing Director,2,Married,5295,7693,4,No,21,4,3,7,3,3,5,4,1,36-45,5k-10k
RM955,42,No,Non_Travel,Research & Development,2,Life Sciences,3,Male,Manager,3,Married,17861,26582,0,Yes,13,3,4,21,3,2,20,8,2,36-45,15k+
RM1076,32,No,Travel_Rarely,Research & Development,10,Medical,3,Male,Manager,4,Single,11244,21072,2,No,25,4,2,10,5,4,5,2,0,26-35,10k-15k
RM285,26,No,Travel_Frequently,Research & Development,11,Medical,1,Male,Healthcare Representative,1,Married,4741,22722,1,Yes,13,3,3,5,3,3,5,3,3,26-35,Upto 5k
RM693,32,No,Travel_Rarely,Research & Development,3,Medical,3,Female,Manufacturing Director,1,Married,6725,13554,1,No,12,3,3,8,2,4,8,7,6,26-35,5k-10k
RM992,32,No,Travel_Rarely,Sales,2,Marketing,3,Male,Sales Executive,2,Married,4078,20497,0,Yes,13,3,1,4,3,2,3,2,1,26-35,Upto 5k
RM663,20,Yes,Travel_Rarely,Sales,2,Medical,3,Female,Sales Representative,3,Single,2044,22052,1,No,13,3,4,2,3,2,2,2,0,18-25,Upto 5k
RM1426,33,No,Travel_Rarely,Research & Development,15,Medical,2,Female,Healthcare Representative,4,Married,4878,21653,0,Yes,13,3,1,10,6,3,9,7,8,26-35,Upto 5k
RM546,30,No,Travel_Rarely,Sales,27,Marketing,3,Male,Sales Executive,4,Divorced,5304,25275,7,No,23,4,4,10,2,2,8,7,7,26-35,5k-10k
RM1437,21,No,Travel_Rarely,Sales,5,Medical,3,Male,Sales Representative,1,Single,2380,25479,1,Yes,11,3,4,2,6,3,2,2,1,18-25,Upto 5k
RM251,37,Yes,Travel_Frequently,Research & Development,10,Medical,1,Male,Manufacturing Director,3,Divorced,10048,22573,6,No,11,3,2,17,5,3,1,0,0,36-45,10k-15k
RM893,19,Yes,Non_Travel,Research & Development,10,Medical,1,Female,Research Scientist,2,Single,1859,6148,1,Yes,25,4,2,1,2,4,1,1,0,18-25,Upto 5k
RM252,39,No,Travel_Frequently,Research & Development,2,Technical Degree,3,Female,Healthcare Representative,3,Single,10938,6420,0,No,25,4,4,20,1,3,19,6,11,36-45,10k-15k
RM292,36,No,Travel_Rarely,Research & Development,3,Technical Degree,3,Male,Research Scientist,2,Single,4485,26285,4,No,12,3,4,10,2,3,8,0,7,36-45,Upto 5k
RM1231,24,No,Travel_Rarely,Research & Development,29,Medical,2,Male,Laboratory Technician,1,Divorced,3907,3622,1,No,13,3,2,6,2,4,6,2,1,18-25,Upto 5k
RM965,34,No,Travel_Rarely,Sales,15,Medical,3,Female,Sales Executive,1,Single,6125,23553,1,No,12,3,4,10,6,4,10,8,9,26-35,5k-10k
RM1083,23,No,Travel_Rarely,Research & Development,20,Life Sciences,1,Male,Laboratory Technician,3,Single,2272,24812,0,No,14,3,2,5,2,3,4,3,1,18-25,Upto 5k
RM1419,38,No,Travel_Frequently,Research & Development,6,Life Sciences,1,Male,Manufacturing Director,3,Married,5321,14284,2,No,11,3,4,10,1,3,8,3,7,36-45,5k-10k
RM329,33,No,Travel_Frequently,Sales,10,Marketing,2,Male,Sales Executive,4,Single,4682,4317,3,No,14,3,3,9,6,2,7,7,0,26-35,Upto 5k
RM460,41,No,Non_Travel,Research & Development,2,Other,1,Female,Healthcare Representative,3,Single,6811,2112,2,Yes,17,3,1,10,3,3,8,7,0,36-45,5k-10k
RM784,41,No,Travel_Rarely,Research & Development,7,Technical Degree,2,Female,Research Scientist,3,Married,3376,18863,1,No,13,3,3,10,3,3,10,6,0,36-45,Upto 5k
RM1271,34,No,Travel_Rarely,Sales,3,Life Sciences,4,Female,Sales Executive,4,Single,6029,25353,5,No,12,3,1,6,3,3,2,2,2,26-35,5k-10k
RM1351,27,No,Travel_Rarely,Sales,2,Medical,1,Female,Sales Executive,3,Single,6500,26997,0,No,14,3,2,9,5,2,8,7,0,26-35,5k-10k
RM056,33,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Research Director,4,Single,13458,15146,1,Yes,12,3,3,15,1,3,15,14,8,26-35,10k-15k
RM240,32,Yes,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,Laboratory Technician,3,Single,3730,9571,0,Yes,14,3,4,4,2,1,3,2,1,26-35,Upto 5k
RM1075,33,No,Travel_Rarely,Research & Development,8,Life Sciences,4,Male,Healthcare Representative,3,Single,6388,22049,2,Yes,17,3,1,14,6,3,0,0,0,26-35,5k-10k
RM960,40,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,4,Single,4661,22455,1,No,13,3,3,9,4,3,9,8,8,36-45,Upto 5k
RM1037,31,Yes,Travel_Frequently,Research & Development,2,Life Sciences,2,Male,Laboratory Technician,4,Married,3722,21081,6,Yes,13,3,3,7,2,1,2,2,2,26-35,Upto 5k
RM950,39,No,Travel_Rarely,Research & Development,18,Life Sciences,1,Male,Manufacturing Director,3,Single,4534,13352,0,No,11,3,1,9,6,3,8,7,1,36-45,Upto 5k
RM485,31,No,Travel_Rarely,Sales,6,Medical,1,Male,Sales Executive,4,Divorced,5460,6219,4,No,22,4,4,13,4,4,7,7,5,26-35,5k-10k
RM179,46,No,Travel_Rarely,Sales,1,Marketing,2,Female,Sales Executive,1,Married,10453,2137,1,No,25,4,3,24,2,3,24,13,15,46-55,10k-15k
RM678,49,No,Travel_Rarely,Research & Development,8,Other,1,Female,Laboratory Technician,2,Married,7403,22477,4,No,11,3,3,29,3,2,26,9,1,46-55,5k-10k
RM563,33,Yes,Travel_Rarely,Research & Development,1,Other,4,Male,Research Scientist,4,Single,2686,5207,1,Yes,13,3,3,10,2,2,10,9,7,26-35,Upto 5k
RM1201,44,No,Travel_Rarely,Human Resources,1,Life Sciences,3,Female,Human Resources,4,Divorced,3195,4167,4,Yes,18,3,1,8,2,3,2,2,2,36-45,Upto 5k
RM836,35,No,Travel_Rarely,Human Resources,8,Technical Degree,3,Male,Human Resources,3,Single,4323,7108,1,No,17,3,2,6,2,1,5,4,1,26-35,Upto 5k
RM128,19,Yes,Travel_Rarely,Sales,22,Marketing,4,Male,Sales Representative,3,Single,1675,26820,1,Yes,19,3,4,0,2,2,0,0,0,18-25,Upto 5k
RM1450,32,No,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,Research Scientist,1,Single,2439,11288,1,No,14,3,4,4,4,3,4,2,1,26-35,Upto 5k
RM265,28,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,Laboratory Technician,3,Single,3485,14935,2,No,11,3,3,5,5,1,0,0,0,26-35,Upto 5k
RM353,48,No,Travel_Rarely,Sales,29,Medical,1,Female,Manager,3,Married,12504,23978,3,No,21,4,2,15,3,1,0,0,0,46-55,10k-15k
RM091,40,No,Travel_Frequently,Research & Development,1,Life Sciences,3,Male,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,22,3,2,22,3,11,36-45,10k-15k
RM694,36,Yes,Travel_Rarely,Sales,3,Life Sciences,3,Male,Sales Executive,4,Married,10325,5518,1,Yes,11,3,1,16,6,3,16,7,3,36-45,10k-15k
RM1221,36,No,Travel_Rarely,Sales,2,Life Sciences,3,Female,Sales Representative,4,Single,4502,7439,3,No,15,3,3,17,2,2,13,7,6,36-45,Upto 5k
RM1199,33,No,Non_Travel,Sales,16,Life Sciences,3,Female,Sales Executive,4,Divorced,5368,16130,1,Yes,25,4,3,7,2,3,6,5,1,26-35,5k-10k
RM927,43,No,Travel_Rarely,Sales,4,Marketing,4,Female,Sales Executive,4,Single,10231,20364,3,No,14,3,4,23,3,4,21,7,15,36-45,10k-15k
RM232,42,No,Travel_Rarely,Research & Development,4,Technical Degree,3,Male,Manager,4,Married,19232,4933,1,No,11,3,4,22,3,3,22,17,11,36-45,15k+
RM410,42,No,Travel_Frequently,Research & Development,29,Life Sciences,1,Female,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,19,3,3,5,4,0,36-45,Upto 5k
RM440,31,Yes,Travel_Frequently,Research & Development,20,Life Sciences,1,Male,Healthcare Representative,3,Married,9824,22908,3,No,12,3,1,12,2,3,1,0,0,26-35,5k-10k
RM110,22,No,Travel_Rarely,Research & Development,15,Medical,2,Female,Laboratory Technician,4,Single,2871,23785,1,No,15,3,3,1,5,3,0,0,0,18-25,Upto 5k
RM471,24,No,Travel_Frequently,Sales,24,Medical,4,Male,Sales Representative,4,Married,2400,5530,0,No,13,3,3,3,3,3,2,2,2,18-25,Upto 5k
RM909,33,No,Travel_Rarely,Sales,10,Marketing,4,Male,Sales Executive,3,Divorced,8380,21708,0,Yes,14,3,4,10,3,3,9,8,0,26-35,5k-10k
RM1100,45,No,Travel_Rarely,Research & Development,1,Technical Degree,1,Male,Healthcare Representative,2,Divorced,7441,20933,1,No,12,3,1,10,4,3,10,8,7,36-45,5k-10k
RM484,35,No,Travel_Rarely,Research & Development,25,Other,1,Male,Laboratory Technician,4,Single,3681,14004,4,No,14,3,4,9,3,3,3,2,0,26-35,Upto 5k
RM988,51,No,Travel_Frequently,Sales,2,Marketing,2,Male,Sales Executive,2,Married,10596,15395,2,No,11,3,2,14,5,3,4,2,3,46-55,10k-15k
RM360,36,No,Travel_Frequently,Sales,3,Medical,1,Male,Sales Executive,4,Married,9699,7246,4,No,11,3,1,16,2,3,13,9,1,36-45,5k-10k
RM087,23,No,Travel_Rarely,Sales,2,Technical Degree,3,Male,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,3,3,3,0,0,0,18-25,Upto 5k
RM133,31,Yes,Travel_Rarely,Sales,20,Life Sciences,2,Female,Sales Executive,3,Married,4559,24788,3,Yes,11,3,3,4,2,3,2,2,2,26-35,Upto 5k
RM1235,47,No,Non_Travel,Sales,2,Marketing,3,Male,Sales Executive,2,Married,4978,3536,7,No,11,3,4,4,3,1,1,0,0,46-55,Upto 5k
RM1428,40,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Laboratory Technician,4,Married,2406,4060,8,No,19,3,3,8,3,2,1,0,0,36-45,Upto 5k
RM351,42,No,Travel_Rarely,Human Resources,2,Technical Degree,3,Male,Human Resources,3,Divorced,2696,24017,0,Yes,11,3,3,4,5,3,3,2,1,36-45,Upto 5k
RM1154,18,Yes,Travel_Frequently,Sales,3,Medical,2,Female,Sales Representative,4,Single,1569,18420,1,Yes,12,3,3,0,2,4,0,0,0,18-25,Upto 5k
RM672,34,No,Travel_Rarely,Research & Development,10,Life Sciences,2,Male,Laboratory Technician,2,Divorced,2008,6896,1,No,14,3,2,1,3,3,1,0,1,26-35,Upto 5k
RM1153,21,No,Travel_Rarely,Research & Development,5,Medical,3,Male,Research Scientist,4,Single,3117,26009,1,No,18,3,3,3,2,3,2,2,2,18-25,Upto 5k
RM432,54,No,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,Laboratory Technician,3,Single,3780,23428,7,No,11,3,3,19,3,3,1,0,0,46-55,Upto 5k
RM1267,41,No,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,Laboratory Technician,1,Divorced,2289,20520,1,No,20,4,2,5,2,3,5,3,0,36-45,Upto 5k
RM074,32,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,Research Scientist,2,Married,6220,7346,1,No,17,3,2,10,3,3,10,4,0,26-35,5k-10k
RM335,45,No,Travel_Rarely,Research & Development,8,Other,4,Male,Research Scientist,4,Married,3697,9278,9,No,14,3,1,12,3,3,10,9,9,36-45,Upto 5k
RM738,41,No,Travel_Rarely,Research & Development,7,Medical,4,Female,Manufacturing Director,3,Single,5003,23371,6,No,14,3,2,8,6,3,2,2,2,36-45,5k-10k
RM1229,41,No,Non_Travel,Human Resources,4,Human Resources,3,Male,Human Resources,2,Married,6430,20794,6,No,19,3,2,10,4,3,3,2,1,36-45,5k-10k
RM314,33,No,Travel_Frequently,Research & Development,5,Life Sciences,4,Female,Manager,2,Married,11878,23364,6,No,11,3,2,12,2,3,10,6,8,26-35,10k-15k
RM296,42,No,Travel_Frequently,Sales,26,Marketing,3,Female,Sales Executive,2,Married,13525,14864,5,No,14,3,4,23,2,4,20,4,4,36-45,10k-15k
RM392,40,No,Travel_Rarely,Research & Development,2,Medical,2,Female,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,20,3,3,1,0,0,36-45,Upto 5k
RM1347,45,No,Travel_Rarely,Research & Development,25,Life Sciences,2,Female,Manufacturing Director,4,Married,5906,23888,0,No,13,3,4,10,2,2,9,8,3,36-45,5k-10k
RM193,35,Yes,Travel_Rarely,Research & Development,23,Life Sciences,2,Male,Manufacturing Director,3,Married,5916,15497,3,Yes,13,3,1,8,1,3,1,0,0,26-35,5k-10k
RM1420,42,No,Travel_Rarely,Research & Development,18,Life Sciences,4,Male,Research Scientist,1,Divorced,5410,11189,6,Yes,17,3,3,9,3,2,4,3,1,36-45,5k-10k
RM1440,36,No,Travel_Rarely,Sales,3,Medical,1,Female,Sales Executive,4,Married,7644,12695,0,No,19,3,3,10,2,3,9,7,3,36-45,5k-10k
RM487,37,No,Travel_Rarely,Sales,2,Marketing,4,Male,Sales Executive,3,Married,9602,3010,4,Yes,11,3,3,17,3,2,3,0,1,36-45,5k-10k
RM331,43,No,Travel_Frequently,Research & Development,10,Life Sciences,3,Female,Laboratory Technician,3,Divorced,5257,6227,1,No,11,3,2,9,3,4,9,7,0,36-45,5k-10k
RM1146,36,No,Travel_Rarely,Research & Development,12,Life Sciences,3,Female,Manufacturing Director,3,Married,4663,12421,9,Yes,12,3,2,7,2,3,3,2,1,36-45,Upto 5k
RM1016,34,No,Travel_Frequently,Research & Development,1,Other,4,Male,Research Scientist,1,Divorced,2996,20284,5,No,14,3,3,10,2,3,4,3,1,26-35,Upto 5k
RM453,45,No,Travel_Rarely,Sales,2,Other,4,Male,Sales Executive,2,Married,4805,16177,0,No,19,3,2,9,3,4,8,7,3,36-45,Upto 5k
RM1086,31,Yes,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,Research Scientist,3,Single,4084,4156,1,No,12,3,1,7,2,1,7,2,7,26-35,Upto 5k
RM529,50,Yes,Travel_Frequently,Sales,8,Technical Degree,2,Male,Sales Executive,3,Married,6796,23452,3,Yes,14,3,1,18,4,3,4,3,1,46-55,5k-10k
RM1136,46,No,Travel_Rarely,Sales,1,Life Sciences,4,Male,Manager,1,Single,17567,3156,1,No,15,3,2,27,5,1,26,0,0,46-55,15k+
RM724,46,No,Travel_Rarely,Research & Development,7,Medical,4,Male,Manufacturing Director,3,Married,10845,24208,6,No,13,3,2,13,3,3,8,7,0,46-55,10k-15k
RM299,36,No,Travel_Frequently,Research & Development,18,Life Sciences,3,Male,Laboratory Technician,4,Married,3688,7122,4,No,18,3,4,4,2,3,1,0,0,36-45,Upto 5k
RM1169,24,No,Travel_Frequently,Research & Development,2,Technical Degree,1,Female,Research Scientist,4,Single,3760,17218,1,Yes,13,3,3,6,2,3,6,3,1,18-25,Upto 5k
RM585,42,No,Travel_Frequently,Research & Development,8,Life Sciences,2,Male,Manager,4,Divorced,18430,16225,1,No,13,3,2,24,4,2,24,7,14,36-45,15k+
RM339,30,No,Travel_Rarely,Sales,5,Marketing,4,Female,Sales Executive,3,Divorced,6118,5431,1,No,13,3,3,10,2,3,10,9,1,26-35,5k-10k
RM1068,47,No,Travel_Rarely,Sales,14,Medical,3,Female,Sales Executive,3,Married,4591,24200,3,Yes,17,3,3,11,4,2,5,4,1,46-55,Upto 5k
RM578,37,No,Travel_Rarely,Research & Development,10,Life Sciences,4,Female,Research Scientist,1,Divorced,2782,19905,0,Yes,13,3,2,6,3,2,5,3,4,36-45,Upto 5k
RM1409,23,No,Travel_Rarely,Research & Development,12,Other,4,Male,Laboratory Technician,4,Single,2647,13672,1,No,13,3,3,5,6,4,5,2,1,18-25,Upto 5k
RM1310,26,No,Travel_Rarely,Sales,10,Medical,3,Male,Sales Executive,4,Single,4684,9125,1,No,13,3,1,5,4,3,5,3,1,26-35,Upto 5k
RM084,38,No,Non_Travel,Research & Development,6,Medical,2,Female,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,17,3,3,13,11,1,36-45,5k-10k
RM1400,43,No,Travel_Rarely,Research & Development,11,Life Sciences,1,Male,Healthcare Representative,3,Married,7510,16873,1,No,17,3,2,10,1,3,10,9,0,36-45,5k-10k
RM1319,29,No,Travel_Frequently,Research & Development,20,Medical,4,Male,Laboratory Technician,4,Married,3812,7003,1,No,13,3,2,11,3,4,11,8,3,26-35,Upto 5k
RM369,40,Yes,Travel_Rarely,Sales,22,Marketing,3,Male,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,8,6,3,6,4,1,36-45,5k-10k
RM1092,33,No,Travel_Rarely,Research & Development,25,Life Sciences,4,Male,Manufacturing Director,2,Single,4320,24152,1,No,13,3,4,5,2,3,5,3,0,26-35,Upto 5k
RM383,26,Yes,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,Research Scientist,1,Single,3102,6582,0,No,22,4,3,7,2,3,6,4,0,26-35,Upto 5k
RM572,26,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,Laboratory Technician,4,Divorced,4364,5288,3,No,14,3,1,5,2,3,2,2,2,26-35,Upto 5k
RM534,40,No,Travel_Frequently,Sales,5,Life Sciences,4,Male,Sales Executive,1,Married,10475,23772,5,Yes,21,4,3,20,2,3,18,13,1,36-45,10k-15k
RM1152,28,No,Travel_Rarely,Research & Development,27,Medical,2,Female,Manufacturing Director,1,Divorced,4877,20460,0,No,21,4,2,6,5,2,5,3,0,26-35,Upto 5k
